name,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,12/31/1988,12/31/1987,03/31/1987,03/31/1986
TotalAssets,"8,962,000,000","7,023,000,000","6,583,000,000","5,864,000,000","6,028,000,000","5,253,000,000","5,102,000,000","4,931,000,000","4,556,000,000","4,347,000,000","4,103,000,000","3,763,000,000","3,540,000,000","3,586,000,000","3,370,000,000","3,299,000,000","3,321,000,000","3,616,000,000","3,316,000,000","2,981,000,000","3,109,000,000","3,229,000,000","3,381,000,000","3,428,000,000","3,767,000,000","4,325,000,000","4,246,000,000","4,108,000,000","4,337,000,000","4,317,000,000","3,897,000,000","3,797,000,000","4,000,000,000","4,612,000,000","5,041,000,000","4,988,000,000","4,954,000,000","5,236,000,000","5,224,000,000","5,209,000,000","4,964,000,000","4,595,000,000","4,955,000,000","5,232,000,000","9,078,000,000","8,747,000,000","8,683,000,000","9,052,000,000","7,675,000,000","9,441,000,000","9,784,000,000","11,208,000,000","11,550,000,000","12,934,000,000","13,224,000,000","12,712,000,000","13,147,000,000","8,379,243,000","8,061,895,000","8,052,045,000","7,287,779,000","8,159,956,000","7,772,562,000","7,821,774,000","7,844,210,000","7,282,439,000","7,009,462,000","7,002,955,000","7,094,345,000","6,664,365,000","5,293,907,000","5,398,802,000","5,619,181,000","5,731,482,000","5,903,042,000","5,964,942,000","5,647,242,000","5,739,205,000","5,830,953,000","6,029,405,000","5,767,735,000","5,371,992,000","4,963,494,000","4,638,227,000","4,377,698,000","4,178,807,000","4,246,009,000","4,305,493,000","4,252,968,000","4,116,118,000","3,858,584,000","3,332,306,000","3,515,271,000","3,425,946,000","3,471,731,000","3,426,126,000","3,145,283,000","3,053,992,000","2,845,025,000","2,954,809,000","3,031,268,000","2,967,407,000","2,901,119,000","2,702,011,000","2,445,702,000","2,321,919,000","2,174,399,000","2,058,243,000","1,929,231,000","1,771,700,000","1,649,800,000","1,572,500,000","1,448,100,000","1,466,500,000","1,414,100,000","1,374,400,000","1,291,800,000","1,167,900,000","1,149,900,000","1,128,700,000","1,111,700,000","1,114,700,000","1,123,800,000","1,133,300,000","1,122,400,000","1,113,000,000","1,081,300,000","1,113,700,000","843,500,000","731,500,000"
	CurrentAssets,"6,143,000,000","5,500,000,000","5,109,000,000","4,390,000,000","4,597,000,000","3,912,000,000","3,754,000,000","3,677,000,000","3,540,000,000","3,314,000,000","3,099,000,000","2,751,000,000","2,622,000,000","2,699,000,000","2,511,000,000","2,498,000,000","2,530,000,000","2,824,000,000","2,506,000,000","2,226,000,000","2,320,000,000","2,466,000,000","2,451,000,000","2,497,000,000","2,736,000,000","3,020,000,000","2,932,000,000","2,690,000,000","2,884,000,000","2,939,000,000","2,458,000,000","2,338,000,000","2,265,000,000","2,815,000,000","3,233,000,000","3,195,000,000","3,229,000,000","3,412,000,000","3,438,000,000","3,411,000,000","3,594,000,000","3,212,000,000","3,313,000,000","3,331,000,000","4,275,000,000","3,918,000,000","3,713,000,000","3,971,000,000","2,379,000,000","3,297,000,000","3,431,000,000","3,513,000,000","3,816,000,000","3,543,000,000","3,598,000,000","3,187,000,000","3,963,000,000","3,911,861,000","3,905,532,000","4,216,853,000","3,558,837,000","3,462,403,000","3,248,061,000","3,127,474,000","3,227,997,000","3,051,240,000","2,877,447,000","2,943,676,000","2,900,278,000","2,517,980,000","1,715,041,000","1,794,990,000","2,019,678,000","2,145,646,000","2,418,065,000","2,659,880,000","2,353,109,000","2,399,743,000","2,550,836,000","2,881,099,000","2,657,689,000","2,452,849,000","2,059,391,000","1,732,873,000","1,409,878,000","1,160,781,000","1,297,875,000","1,328,621,000","1,562,027,000","1,365,603,000","1,327,654,000","915,806,000","1,175,267,000","1,133,714,000","1,209,102,000","1,252,756,000","1,029,077,000","1,003,651,000","872,511,000","1,012,950,000","1,096,768,000","1,131,662,000","1,193,640,000","1,081,364,000","986,619,000","1,132,223,000","1,115,108,000","1,072,497,000","964,186,000","905,200,000","838,100,000","804,800,000","737,700,000","775,700,000","742,900,000","726,400,000","626,200,000","461,200,000","437,500,000","408,000,000","396,500,000","434,300,000","491,100,000","600,300,000","593,700,000","618,100,000","572,300,000","571,500,000","426,300,000","243,100,000"
		CashCashEquivalentsAndShortTermInvestments,"2,290,000,000","1,771,000,000","1,775,000,000","1,385,000,000","1,503,000,000","1,209,000,000","1,128,000,000","1,194,000,000","1,156,000,000","1,056,000,000","983,000,000","1,045,000,000","1,185,000,000","879,000,000","844,000,000","943,000,000","1,264,000,000","1,258,000,000","957,000,000","716,000,000","785,000,000","755,000,000","829,000,000","906,000,000","1,040,000,000","938,000,000","948,000,000","902,000,000","1,097,000,000","1,060,000,000","968,000,000","1,003,000,000","1,002,000,000","1,300,000,000","1,579,000,000","1,544,000,000","1,765,000,000","1,807,000,000","1,861,000,000","1,745,000,000","1,789,000,000","1,726,000,000","1,896,000,000","1,932,000,000","2,676,000,000","2,511,000,000","2,514,000,000","2,719,000,000","1,096,000,000","1,341,000,000","1,567,000,000","1,753,000,000","1,889,000,000","1,528,000,000","1,594,000,000","1,167,000,000","1,541,000,000","2,356,903,000","2,530,062,000","2,632,663,000","1,794,766,000","1,342,167,000","1,220,064,000","1,084,809,000","1,195,559,000","1,185,177,000","1,142,274,000","1,096,387,000","1,313,367,000","1,075,939,000","738,801,000","800,009,000","1,037,705,000","865,824,000","1,099,943,000","1,276,723,000","869,997,000","903,534,000","1,057,163,000","1,595,556,000","1,293,165,000","1,233,497,000","1,079,893,000","919,183,000","596,511,000","377,035,000","650,830,000","489,145,000","697,025,000","580,510,000","692,443,000","306,804,000","467,032,000","441,010,000","543,015,000","628,887,000","386,198,000","361,344,000","281,658,000","409,299,000","490,647,000","492,923,000","548,960,000","487,528,000","377,854,000","518,985,000","571,329,000","542,687,000","60,423,000","25,800,000","43,100,000","80,500,000","52,000,000","163,300,000","97,800,000","167,600,000","153,900,000","87,600,000","77,000,000","70,200,000","49,100,000","43,100,000","19,800,000","76,200,000","79,700,000","136,400,000","286,800,000","235,200,000","28,900,000","15,400,000"
			CashAndCashEquivalents,"1,595,000,000","1,296,000,000","1,775,000,000","1,330,000,000","1,466,000,000","1,156,000,000","963,000,000","978,000,000","1,078,000,000","1,046,000,000","948,000,000","1,045,000,000","1,185,000,000","879,000,000","760,000,000","722,000,000","1,264,000,000","1,258,000,000","957,000,000","716,000,000","785,000,000","755,000,000","829,000,000","677,000,000","805,000,000","640,000,000","503,000,000","554,000,000","869,000,000","543,000,000","334,000,000","441,000,000","549,000,000","776,000,000","1,015,000,000","1,193,000,000","869,000,000","625,000,000","554,000,000","602,000,000","606,000,000","620,000,000","1,084,000,000","642,000,000","1,657,000,000","1,847,000,000","1,979,000,000","2,402,000,000","933,000,000","1,108,000,000","1,310,000,000","1,404,000,000","1,432,000,000","1,096,000,000","1,304,000,000","991,000,000","1,380,000,000","1,384,526,000","688,657,000","828,626,000","633,067,000","806,115,000","711,221,000","661,984,000","918,377,000","991,409,000","910,875,000","957,423,000","1,185,804,000","994,935,000","703,176,000","429,392,000","428,748,000","533,389,000","506,191,000","298,387,000","427,288,000","397,423,000","392,500,000","1,055,776,000","591,457,000","582,299,000","709,523,000","380,154,000","294,125,000","93,267,000","220,638,000","163,575,000","361,908,000","135,693,000","160,166,000","192,481,000","240,658,000","162,781,000","160,595,000","225,385,000","166,194,000","108,748,000","77,806,000","85,382,000","113,354,000","178,428,000","261,074,000","162,680,000","121,343,000","130,587,000","79,268,000","84,405,000","60,423,000","25,800,000","43,100,000","80,500,000","52,000,000","163,300,000","97,800,000","167,600,000","153,900,000","87,600,000","77,000,000","70,200,000","49,100,000","43,100,000","19,800,000","76,200,000","79,700,000","136,400,000","286,800,000","235,200,000","28,900,000","15,400,000"
				CashFinancial,,,,,"1,465,000,000","1,155,000,000","942,000,000","630,000,000","315,000,000","92,000,000","46,000,000","113,000,000","108,000,000","118,000,000","90,000,000","93,000,000","67,000,000","306,000,000","407,000,000","309,000,000","409,000,000","370,000,000","352,000,000","402,000,000",,"362,000,000","372,000,000","285,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				CashEquivalents,,,,,"1,000,000","1,000,000","21,000,000","348,000,000","763,000,000","954,000,000","902,000,000","932,000,000","1,077,000,000","761,000,000","670,000,000","629,000,000","1,197,000,000","952,000,000","550,000,000","407,000,000","376,000,000","385,000,000","477,000,000","275,000,000",,"278,000,000","131,000,000","269,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherShortTermInvestments,"695,000,000","475,000,000","0","55,000,000","37,000,000","53,000,000","165,000,000","216,000,000","78,000,000","10,000,000","35,000,000",,,,"84,000,000","221,000,000",,,,,"0","0","0","229,000,000","235,000,000","298,000,000","445,000,000","348,000,000","228,000,000","517,000,000","634,000,000","562,000,000","453,000,000","524,000,000","564,000,000","351,000,000","896,000,000","1,182,000,000","1,307,000,000","1,143,000,000","1,183,000,000","1,106,000,000","812,000,000","1,290,000,000","1,019,000,000","664,000,000","535,000,000","317,000,000","163,000,000","233,000,000","257,000,000","349,000,000","457,000,000","432,000,000","290,000,000","176,000,000","161,000,000","972,377,000","1,841,405,000","1,804,037,000","1,161,699,000","536,052,000","508,843,000","422,825,000","277,182,000","193,768,000","231,399,000","138,964,000","127,563,000","81,004,000","35,625,000","370,617,000","608,957,000","332,435,000","593,752,000","978,336,000","442,709,000","506,111,000","664,663,000","539,780,000","701,708,000","651,198,000","370,370,000","539,029,000","302,386,000","283,768,000","430,192,000","325,570,000","335,117,000","444,817,000","532,277,000","114,323,000","226,374,000","278,229,000","382,420,000","403,502,000","220,004,000","252,596,000","203,852,000","323,917,000","377,293,000","314,495,000","287,886,000","324,848,000","256,511,000","388,398,000","492,061,000","458,282,000",,,,,,,,,,,,,,,,,,,,,,
		Receivables,"2,076,000,000","2,138,000,000","1,799,000,000","1,691,000,000","1,859,000,000","1,393,000,000","1,333,000,000","1,241,000,000","1,235,000,000","1,207,000,000","1,118,000,000","738,000,000","400,000,000","771,000,000","614,000,000","494,000,000","311,000,000","640,000,000","671,000,000","508,000,000","533,000,000","648,000,000","687,000,000","771,000,000","818,000,000","973,000,000","872,000,000","840,000,000","832,000,000","873,000,000","670,000,000","645,000,000","630,000,000","683,000,000","744,000,000","962,000,000","919,000,000","908,000,000","759,000,000","797,000,000","968,000,000","765,000,000","725,000,000","675,000,000","745,000,000","572,000,000","366,000,000","414,000,000","320,000,000","620,000,000","437,000,000","538,000,000","640,000,000","682,000,000","648,000,000","680,000,000","1,150,000,000","709,216,000","592,264,000","858,823,000","948,817,000","861,799,000","735,687,000","698,308,000","719,572,000","790,750,000","744,548,000","669,357,000","609,457,000","543,444,000","351,834,000","371,841,000","395,828,000","428,653,000","534,929,000","692,165,000","659,783,000","588,563,000","728,356,000","602,067,000","547,200,000","687,692,000","533,007,000","408,148,000","429,809,000","382,478,000","320,750,000","376,360,000","415,557,000","372,393,000","239,602,000","254,346,000","329,111,000","309,153,000","314,101,000","282,590,000","220,028,000","234,242,000","209,691,000","235,159,000","275,733,000","344,047,000","366,359,000","339,080,000","337,107,000","332,411,000","314,743,000","313,972,000","263,617,000","271,000,000","236,700,000","224,200,000","202,100,000","202,700,000","212,100,000","206,900,000","189,500,000","185,500,000","180,500,000","164,400,000","153,500,000","164,900,000","169,500,000","178,400,000","183,600,000","202,600,000","167,400,000","176,500,000","290,000,000","109,000,000"
			AccountsReceivable,"2,066,000,000","2,134,000,000","1,789,000,000","1,691,000,000","1,859,000,000","1,393,000,000","1,333,000,000","1,241,000,000","1,235,000,000","1,207,000,000","1,118,000,000","738,000,000","400,000,000","771,000,000","614,000,000","494,000,000","311,000,000","640,000,000","671,000,000","508,000,000","533,000,000","648,000,000","687,000,000","771,000,000","818,000,000","973,000,000","872,000,000","840,000,000","832,000,000","873,000,000","670,000,000","645,000,000","630,000,000","683,000,000","744,000,000","962,000,000","919,000,000","908,000,000","759,000,000","797,000,000","968,000,000","765,000,000","725,000,000","675,000,000","745,000,000","572,000,000","366,000,000","414,000,000","320,000,000","620,000,000","437,000,000","538,000,000","640,000,000","682,000,000","648,000,000","680,000,000","1,140,000,000","709,216,000","571,539,000","819,963,000","805,531,000","877,594,000","735,687,000","698,308,000","719,572,000","790,750,000","744,548,000","669,357,000","609,457,000","543,444,000","351,834,000","371,841,000","395,828,000","428,653,000","534,929,000","692,165,000","659,783,000","588,563,000","728,356,000","602,067,000","547,200,000","687,692,000","533,007,000","408,148,000","429,809,000","382,478,000","320,750,000","376,360,000","415,557,000","372,393,000","239,602,000","254,346,000","329,111,000","309,153,000","314,101,000","282,590,000","220,028,000","234,242,000","209,691,000","235,159,000","275,733,000","344,047,000","366,359,000","339,080,000","337,107,000","332,411,000","314,743,000","313,972,000","263,617,000",,,,,,,,,,,,,,,,,,,,,
				GrossAccountsReceivable,,,,,,,,,,,,,,,,,,"640,000,000","671,000,000","508,000,000",,"648,000,000","687,000,000","771,000,000",,"973,000,000","872,000,000","840,000,000","832,000,000","874,000,000","671,000,000","646,000,000","632,000,000","684,000,000","745,000,000","963,000,000","921,000,000","911,000,000","761,000,000","800,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,,,,,,,,,,,,,,,,,,"0","0","0",,"0","0","0",,"0","0","0","0","-1,000,000","-1,000,000","-1,000,000","-2,000,000","-1,000,000","-1,000,000","-1,000,000","-2,000,000","-3,000,000","-2,000,000","-3,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			DuefromRelatedPartiesCurrent,"10,000,000","4,000,000","10,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherReceivables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,000,000","6,000,000","7,000,000",,,,,,,,,"10,000,000",,"20,725,000","38,860,000","143,286,000","-15,795,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			ReceivablesAdjustmentsAllowances,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-6,000,000","-6,000,000","-7,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		Inventory,"1,399,000,000","1,292,000,000","1,324,000,000","1,056,000,000","982,000,000","1,040,000,000","1,015,000,000","955,000,000","845,000,000","738,000,000","750,000,000","715,000,000","739,000,000","794,000,000","833,000,000","839,000,000","751,000,000","772,000,000","743,000,000","675,000,000","678,000,000","761,000,000","799,000,000","688,000,000","685,000,000","897,000,000","960,000,000","869,000,000","884,000,000","922,000,000","711,000,000","613,000,000","562,000,000","744,000,000","833,000,000","585,000,000","476,000,000","540,000,000","642,000,000","648,000,000","632,000,000","622,000,000","581,000,000","577,000,000","567,000,000","515,000,000","493,000,000","539,000,000","656,000,000","844,000,000","791,000,000","785,000,000","821,000,000","839,000,000","892,000,000","938,000,000","814,000,000","465,716,000","405,285,000","337,216,000","388,631,000","931,763,000","911,163,000","846,152,000","874,790,000","807,233,000","726,179,000","692,588,000","697,658,000","692,395,000","467,384,000","440,049,000","432,603,000","420,232,000","380,078,000","376,795,000","380,474,000","449,078,000","400,849,000","354,630,000","343,541,000","290,426,000","255,579,000","204,965,000","198,213,000","234,110,000","203,056,000","182,670,000","175,075,000","172,231,000","171,633,000","157,859,000","168,517,000","163,431,000","162,614,000","149,218,000","154,010,000","163,489,000","175,837,000","168,173,000","154,670,000","153,130,000","133,204,000","125,262,000","128,690,000","120,124,000","112,647,000","104,832,000","104,050,000","93,500,000","81,800,000","81,700,000","86,000,000","94,000,000","95,300,000","94,100,000","91,500,000","96,900,000","91,000,000","88,900,000","90,000,000","92,700,000","95,400,000","97,500,000","90,500,000","88,000,000","90,500,000","81,900,000","47,600,000","42,500,000"
			RawMaterials,"93,000,000","98,000,000","102,000,000","88,000,000","94,000,000","95,000,000","125,000,000","120,000,000","134,000,000","85,000,000","72,000,000","69,000,000","34,000,000","52,000,000","26,000,000","19,000,000","11,000,000","15,000,000","13,000,000","13,000,000","16,000,000","20,000,000","33,000,000","38,000,000","40,000,000","36,000,000","34,000,000","29,000,000","30,000,000","30,000,000","29,000,000","32,000,000","29,000,000","39,000,000","30,000,000","26,000,000","25,000,000","25,000,000","28,000,000","25,000,000","28,000,000","29,000,000","35,000,000","28,000,000","34,000,000","30,000,000","23,000,000","22,000,000","41,000,000","39,000,000","36,000,000","50,000,000","48,000,000","56,000,000","94,000,000","103,000,000","83,000,000","25,775,000","20,106,000","12,803,000","17,762,000","49,738,000","40,824,000","48,262,000","63,875,000","60,184,000","46,721,000","34,650,000","42,925,000","26,160,000","19,475,000","21,942,000","22,741,000","16,637,000","39,321,000","20,025,000","26,489,000","31,491,000","51,284,000","44,470,000","34,413,000","10,183,000","11,430,000","9,285,000","10,236,000","13,318,000","12,582,000","14,689,000","21,185,000","15,620,000","22,057,000","32,028,000","33,375,000","38,273,000","33,011,000","25,337,000","22,050,000","23,680,000","31,924,000","38,384,000","29,272,000","31,958,000","24,570,000","23,445,000","21,604,000","16,001,000","15,067,000","14,953,000","15,371,000",,,,,,,,,,,,,,,,,,,,,
			WorkInProcess,"1,139,000,000","990,000,000","936,000,000","740,000,000","691,000,000","754,000,000","673,000,000","548,000,000","354,000,000","418,000,000","441,000,000","520,000,000","468,000,000","521,000,000","566,000,000","598,000,000","564,000,000","533,000,000","579,000,000","542,000,000","482,000,000","461,000,000","515,000,000","465,000,000","431,000,000","648,000,000","688,000,000","650,000,000","727,000,000","667,000,000","516,000,000","422,000,000","357,000,000","547,000,000","557,000,000","411,000,000","295,000,000","395,000,000","446,000,000","496,000,000","441,000,000","397,000,000","364,000,000","349,000,000","359,000,000","341,000,000","312,000,000","433,000,000","352,000,000","523,000,000","470,000,000","469,000,000","472,000,000","564,000,000","459,000,000","451,000,000","545,000,000","332,439,000","252,577,000","196,632,000","225,003,000","677,991,000","659,152,000","579,946,000","571,651,000","534,487,000","524,247,000","490,172,000","504,861,000","494,142,000","317,445,000","280,706,000","254,957,000","234,991,000","116,205,000","266,401,000","236,679,000","292,981,000","215,261,000","171,873,000","154,854,000","173,613,000","162,101,000","102,866,000","97,143,000","121,792,000","102,667,000","132,516,000","129,036,000","128,639,000","116,401,000","92,712,000","96,712,000","94,112,000","100,258,000","86,486,000","83,853,000","97,946,000","99,683,000","81,726,000","68,827,000","68,148,000","68,805,000","70,590,000","72,632,000","62,617,000","60,388,000","59,372,000","56,504,000",,,,,,,,,,,,,,,,,,,,,
			FinishedGoods,"167,000,000","204,000,000","286,000,000","228,000,000","197,000,000","191,000,000","217,000,000","287,000,000","357,000,000","235,000,000","237,000,000","126,000,000","237,000,000","221,000,000","241,000,000","222,000,000","176,000,000","224,000,000","151,000,000","120,000,000","180,000,000","280,000,000","251,000,000","185,000,000","214,000,000","213,000,000","238,000,000","190,000,000","127,000,000","225,000,000","166,000,000","159,000,000","176,000,000","158,000,000","246,000,000","148,000,000","156,000,000","120,000,000","168,000,000","127,000,000","163,000,000","196,000,000","182,000,000","200,000,000","174,000,000","144,000,000","158,000,000","84,000,000","263,000,000","282,000,000","285,000,000","266,000,000","301,000,000","219,000,000","339,000,000","384,000,000","186,000,000","107,502,000","132,602,000","127,781,000","145,866,000","204,034,000","211,187,000","217,944,000","239,264,000","212,562,000","155,211,000","167,766,000","149,872,000","172,093,000","130,464,000","137,401,000","154,905,000","168,604,000","224,552,000","90,369,000","117,306,000","124,606,000","134,304,000","138,287,000","154,274,000","106,630,000","82,048,000","92,814,000","90,834,000","99,000,000","87,807,000","35,465,000","24,854,000","27,972,000","33,175,000","33,119,000","38,430,000","31,046,000","29,345,000","37,395,000","48,107,000","41,863,000","44,230,000","48,063,000","56,571,000","53,024,000","39,829,000","31,227,000","34,454,000","41,506,000","37,192,000","30,507,000","32,175,000",,,,,,,,,,,,,,,,,,,,,
