name,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,12/31/1988,12/31/1987,12/31/1986,12/31/1985
TotalAssets,"153,091,000,000","145,261,000,000","152,539,000,000","147,710,000,000","136,524,000,000","133,768,000,000","130,759,000,000","129,458,000,000","127,963,000,000","128,242,000,000","125,972,000,000","128,596,000,000","123,249,000,000","127,088,000,000","122,107,000,000","115,648,000,000","113,327,000,000","112,217,000,000","109,831,000,000","105,467,000,000","103,065,000,000","98,552,000,000","90,492,000,000","89,566,000,000","91,956,000,000","90,616,000,000","91,793,000,000","91,932,000,000","92,358,000,000","90,551,000,000","85,661,000,000","83,083,000,000","84,351,000,000","74,441,000,000","72,352,000,000","71,817,000,000","71,119,000,000","70,551,000,000","66,089,000,000","65,552,000,000","63,186,000,000","60,588,000,000","57,691,000,000","55,773,000,000","53,095,000,000","50,996,000,000","49,061,000,000","48,454,000,000","50,715,000,000","52,719,000,000","52,392,000,000","53,387,000,000","55,651,000,000","53,039,000,000","50,294,000,000","48,756,000,000","48,368,000,000","46,855,000,000","46,088,000,000","47,194,000,000","48,314,000,000","47,360,000,000","46,513,000,000","47,566,000,000","48,143,000,000","47,800,000,000","48,672,000,000","47,088,000,000","47,143,000,000","47,003,000,000","44,465,000,000","43,806,000,000","44,224,000,000","43,636,000,000","43,498,000,000","44,389,000,000","44,395,000,000","44,231,000,000","45,624,000,000","46,249,000,000","47,945,000,000","49,013,000,000","48,520,000,000","47,811,000,000","43,849,000,000","38,938,000,000","32,801,000,000","33,093,000,000","31,471,000,000","29,388,000,000","28,418,000,000","30,229,000,000","28,880,000,000","27,201,000,000","25,147,000,000","25,102,000,000","23,735,000,000","21,072,000,000","19,300,000,000","18,219,000,000","17,504,000,000","17,002,000,000","15,473,000,000","14,910,000,000","13,816,000,000","13,272,000,000","12,286,000,000","11,926,000,000","11,344,000,000","10,460,600,000","9,459,700,000","9,072,900,000","8,088,600,000","7,342,200,000","6,883,900,000","6,505,200,000","6,292,100,000","6,065,900,000","5,822,200,000","5,470,500,000","5,376,300,000","5,117,700,000","4,636,500,000","4,079,400,000","3,994,000,000","3,748,000,000","3,723,000,000","3,549,700,000","2,597,200,000","2,080,000,000","2,151,900,000"
	CurrentAssets,"47,249,000,000","36,785,000,000","44,390,000,000","41,501,000,000","31,239,000,000","29,957,000,000","29,239,000,000","29,060,000,000","28,787,000,000","29,590,000,000","27,603,000,000","31,630,000,000","29,500,000,000","33,154,000,000","40,617,000,000","36,058,000,000","35,508,000,000","36,216,000,000","31,188,000,000","27,397,000,000","40,356,000,000","36,205,000,000","26,710,000,000","26,466,000,000","27,730,000,000","27,509,000,000","29,006,000,000","30,554,000,000","32,084,000,000","31,350,000,000","29,048,000,000","28,677,000,000","31,358,000,000","23,014,000,000","25,785,000,000","25,421,000,000","25,872,000,000","26,698,000,000","23,102,000,000","22,795,000,000","31,611,000,000","29,499,000,000","26,464,000,000","23,724,000,000","21,157,000,000","19,247,000,000","18,467,000,000","18,142,000,000","19,871,000,000","21,423,000,000","19,778,000,000","22,064,000,000","23,885,000,000","21,426,000,000","19,648,000,000","17,694,000,000","18,280,000,000","17,604,000,000","16,755,000,000","18,027,000,000","21,194,000,000","21,724,000,000","22,190,000,000","23,478,000,000","24,058,000,000","23,990,000,000","24,758,000,000","23,091,000,000","22,882,000,000","22,338,000,000","20,102,000,000","19,076,000,000","18,925,000,000","18,045,000,000","17,201,000,000","17,489,000,000","17,633,000,000","16,867,000,000","17,305,000,000","18,739,000,000","21,150,000,000","21,510,000,000","20,550,000,000","17,408,000,000","17,819,000,000","17,916,000,000","16,473,000,000","16,449,000,000","13,475,000,000","14,713,000,000","13,368,000,000","16,272,000,000","15,867,000,000","15,140,000,000","14,189,000,000","14,581,000,000","13,684,000,000","11,215,000,000","9,625,000,000","8,632,000,000","8,097,000,000","8,024,000,000","7,004,000,000","6,824,000,000","6,167,000,000","6,055,000,000","5,526,000,000","5,820,000,000","5,802,000,000","5,824,600,000","5,401,200,000","5,415,500,000","4,691,000,000","4,156,700,000","3,993,000,000","3,672,800,000","3,604,000,000","3,560,600,000","3,347,600,000","3,142,900,000","3,119,200,000","3,002,600,000","2,662,000,000","2,147,000,000","2,162,900,000","1,959,900,000","1,968,600,000","1,969,900,000","1,430,800,000","1,023,700,000","1,023,900,000"
		CashCashEquivalentsAndShortTermInvestments,"23,895,000,000","18,253,000,000","25,815,000,000","20,803,000,000","13,123,000,000","12,025,000,000","11,944,000,000","12,033,000,000","11,650,000,000","13,186,000,000","12,225,000,000","16,197,000,000","14,002,000,000","17,504,000,000","25,929,000,000","17,295,000,000","17,099,000,000","17,769,000,000","17,689,000,000","15,091,000,000","25,313,000,000","20,843,000,000","13,870,000,000","14,118,000,000","14,054,000,000","15,594,000,000","17,311,000,000","19,046,000,000","20,087,000,000","19,146,000,000","17,350,000,000","17,073,000,000","18,162,000,000","10,465,000,000","13,648,000,000","13,753,000,000","14,837,000,000","15,198,000,000","11,547,000,000","11,978,000,000","21,885,000,000","14,987,000,000","18,303,000,000","10,915,000,000","9,272,000,000","9,259,000,000","9,021,000,000","7,792,000,000","8,681,000,000","8,287,000,000","8,391,000,000","10,876,000,000","12,797,000,000","13,021,000,000","10,661,000,000","9,024,000,000","10,002,000,000","8,219,000,000","7,643,000,000","7,854,000,000","12,772,000,000","13,933,000,000","14,824,000,000","16,116,000,000","17,172,000,000","16,157,000,000","16,972,000,000","15,718,000,000","16,164,000,000","15,440,000,000","13,636,000,000","12,435,000,000","12,587,000,000","11,242,000,000","10,607,000,000","10,848,000,000","11,550,000,000","10,217,000,000","10,565,000,000","11,603,000,000","13,823,000,000","14,007,000,000","13,644,000,000","11,216,000,000","11,788,000,000","11,891,000,000","10,609,000,000","10,589,000,000","7,310,000,000","8,419,000,000","7,409,000,000","10,329,000,000","9,732,000,000","8,774,000,000","7,887,000,000","8,353,000,000","7,907,000,000","5,820,000,000","4,715,000,000","3,425,000,000","2,458,000,000","1,954,000,000","1,988,000,000","2,510,000,000","2,410,000,000","2,291,000,000","2,320,000,000","2,887,000,000","1,475,000,000","1,533,000,000","1,716,900,000","2,051,800,000","1,842,400,000","1,392,500,000","1,782,500,000","1,579,000,000","1,519,000,000","1,512,800,000","1,601,500,000","1,592,800,000","1,619,600,000","1,595,200,000","1,357,100,000","967,800,000","1,089,700,000","855,100,000","866,400,000","971,100,000","618,700,000","373,200,000","361,100,000"
			CashAndCashEquivalents,"5,865,000,000","3,356,000,000","8,736,000,000","11,380,000,000","4,194,000,000","3,935,000,000","2,867,000,000","3,154,000,000","3,019,000,000","3,407,000,000","2,614,000,000","3,554,000,000","3,433,000,000","9,075,000,000","11,687,000,000","4,934,000,000","5,560,000,000","4,752,000,000","3,885,000,000","3,061,000,000","15,308,000,000","7,065,000,000","4,454,000,000","4,244,000,000","2,561,000,000","3,143,000,000","3,049,000,000","4,777,000,000","5,674,000,000","4,881,000,000","3,778,000,000","5,698,000,000","8,478,000,000","3,520,000,000","5,223,000,000","4,429,000,000","5,065,000,000","7,057,000,000","4,635,000,000","4,188,000,000","5,498,000,000","5,517,000,000","5,514,000,000","4,988,000,000","3,987,000,000","4,109,000,000","3,826,000,000","3,536,000,000","3,350,000,000","3,704,000,000","4,079,000,000","5,883,000,000","7,307,000,000","5,844,000,000","4,709,000,000","4,472,000,000","6,598,000,000","4,469,000,000","3,436,000,000","3,948,000,000","7,324,000,000","8,857,000,000","8,975,000,000","9,279,000,000","8,407,000,000","6,533,000,000","7,153,000,000","7,539,000,000","7,971,000,000","9,406,000,000","8,382,000,000","7,134,000,000","7,404,000,000","6,678,000,000","6,068,000,000","6,524,000,000","7,970,000,000","4,864,000,000","3,205,000,000","2,861,000,000","2,976,000,000","6,434,000,000","7,308,000,000","6,204,000,000","3,695,000,000","3,512,000,000","3,599,000,000","2,503,000,000","2,038,000,000","2,900,000,000","1,887,000,000","5,073,000,000","4,102,000,000","4,985,000,000","4,002,000,000","3,824,000,000","4,165,000,000","3,513,000,000","2,809,000,000","1,955,000,000","1,463,000,000","1,327,000,000","1,023,000,000","1,290,000,000","1,180,000,000","1,186,000,000","1,012,000,000","1,422,000,000","1,475,000,000","1,533,000,000","1,716,900,000","2,051,800,000","1,842,400,000","1,392,500,000","1,782,500,000","1,579,000,000","1,519,000,000","1,512,800,000","1,601,500,000","1,592,800,000","1,619,600,000","1,595,200,000","1,357,100,000","967,800,000","1,089,700,000","855,100,000","866,400,000","971,100,000","618,700,000","373,200,000","361,100,000"
			OtherShortTermInvestments,"18,030,000,000","14,897,000,000","17,079,000,000","9,423,000,000","8,929,000,000","8,090,000,000","9,077,000,000","8,879,000,000","8,631,000,000","9,779,000,000","9,611,000,000","12,643,000,000","10,569,000,000","8,429,000,000","14,242,000,000","12,361,000,000","11,539,000,000","13,017,000,000","13,804,000,000","12,030,000,000","10,005,000,000","13,778,000,000","9,416,000,000","9,874,000,000","11,493,000,000","12,451,000,000","14,262,000,000","14,269,000,000","14,413,000,000","14,265,000,000","13,572,000,000","11,375,000,000","9,684,000,000","6,945,000,000","8,425,000,000","9,324,000,000","9,772,000,000","8,141,000,000","6,912,000,000","7,790,000,000","16,387,000,000","9,470,000,000","12,789,000,000","5,927,000,000","5,285,000,000","5,150,000,000","5,195,000,000","4,256,000,000","5,331,000,000","4,583,000,000","4,312,000,000","4,993,000,000","5,490,000,000","7,177,000,000","5,952,000,000","4,552,000,000","3,404,000,000","3,750,000,000","4,207,000,000","3,906,000,000","5,448,000,000","5,076,000,000","5,849,000,000","6,837,000,000","8,765,000,000","9,624,000,000","9,819,000,000","8,179,000,000","8,193,000,000","6,034,000,000","5,254,000,000","5,301,000,000","5,183,000,000","4,564,000,000","4,539,000,000","4,324,000,000","3,580,000,000","5,353,000,000","7,360,000,000","8,742,000,000","10,847,000,000","7,573,000,000","6,336,000,000","5,012,000,000","8,093,000,000","8,379,000,000","7,010,000,000","8,086,000,000","5,272,000,000","5,519,000,000","5,522,000,000","5,256,000,000","5,630,000,000","3,789,000,000","3,885,000,000","4,529,000,000","3,742,000,000","2,307,000,000","1,906,000,000","1,470,000,000","995,000,000","627,000,000","965,000,000","1,220,000,000","1,230,000,000","1,105,000,000","1,308,000,000","1,465,000,000",,,,,,,,,,,,,,,,,,,,,,,
		Receivables,"6,782,000,000","7,140,000,000","7,441,000,000","8,455,000,000","7,659,000,000","6,880,000,000","6,233,000,000","6,957,000,000","6,722,000,000","5,457,000,000","4,636,000,000","4,879,000,000","5,607,000,000","5,954,000,000","5,397,000,000","4,921,000,000","4,690,000,000","4,952,000,000","4,426,000,000","4,216,000,000","4,787,000,000","4,101,000,000","3,860,000,000","3,246,000,000","4,427,000,000","3,647,000,000","3,489,000,000","3,505,000,000","3,582,000,000","3,719,000,000","3,474,000,000","3,536,000,000","3,833,000,000","3,938,000,000","3,544,000,000","4,037,000,000","3,650,000,000","3,821,000,000","3,359,000,000","3,542,000,000","2,867,000,000","2,911,000,000","2,430,000,000","2,192,000,000","2,273,000,000","2,025,000,000","1,938,000,000","2,086,000,000","1,712,000,000","2,737,000,000","2,399,000,000","2,725,000,000","2,576,000,000","2,933,000,000","2,531,000,000","2,780,000,000","2,709,000,000","3,358,000,000","3,178,000,000","3,912,000,000","3,914,000,000","3,748,000,000","3,448,000,000","3,226,000,000","2,999,000,000","3,266,000,000","3,183,000,000","3,374,000,000","2,960,000,000","3,290,000,000","2,850,000,000","2,964,000,000","2,574,000,000","3,089,000,000","2,907,000,000","2,883,000,000","2,607,000,000","3,043,000,000","2,904,000,000","3,432,000,000","4,129,000,000","4,574,000,000","4,333,000,000","3,678,000,000","3,700,000,000","3,494,000,000","3,265,000,000","3,319,000,000","3,527,000,000","3,636,000,000","3,126,000,000","3,092,000,000","3,438,000,000","3,921,000,000","3,950,000,000","3,984,000,000","3,723,000,000","3,488,000,000","2,900,000,000","3,101,000,000","3,116,000,000","3,361,000,000","2,884,000,000","2,340,000,000","1,978,000,000","1,909,000,000","1,588,000,000","1,531,000,000","1,448,000,000","1,477,100,000","1,320,100,000","1,240,600,000","2,062,100,000","964,900,000","787,200,000","731,100,000","698,200,000","745,900,000","781,200,000","715,300,000","709,700,000","702,000,000","626,800,000","586,800,000","568,700,000","554,600,000","522,700,000","506,500,000","438,900,000","298,400,000","305,100,000"
			AccountsReceivable,"6,782,000,000","7,140,000,000","7,441,000,000","8,455,000,000","7,659,000,000","6,880,000,000","6,233,000,000","6,957,000,000","6,722,000,000","5,457,000,000","4,636,000,000","4,879,000,000","5,607,000,000","5,954,000,000","5,397,000,000","4,921,000,000","4,690,000,000","4,952,000,000","4,426,000,000","4,216,000,000","4,787,000,000","4,101,000,000","3,860,000,000","3,246,000,000","4,427,000,000","3,647,000,000","3,489,000,000","3,505,000,000","3,582,000,000","3,719,000,000","3,474,000,000","3,536,000,000","3,833,000,000","3,938,000,000","3,544,000,000","4,037,000,000","3,650,000,000","3,821,000,000","3,359,000,000","3,542,000,000","2,867,000,000","2,911,000,000","2,430,000,000","2,192,000,000","2,273,000,000","2,025,000,000","1,938,000,000","2,086,000,000","1,712,000,000","2,737,000,000","2,399,000,000","2,725,000,000","2,576,000,000","2,933,000,000","2,531,000,000","2,780,000,000","2,709,000,000","3,358,000,000","3,178,000,000","3,912,000,000","3,914,000,000","3,748,000,000","3,448,000,000","3,226,000,000","2,999,000,000","3,266,000,000","3,183,000,000","3,374,000,000","2,960,000,000","3,290,000,000","2,850,000,000","2,964,000,000","2,574,000,000","3,089,000,000","2,907,000,000","2,883,000,000","2,607,000,000","3,043,000,000","2,904,000,000","3,432,000,000","4,129,000,000","4,574,000,000","4,333,000,000","3,678,000,000","3,700,000,000","3,494,000,000","3,265,000,000","3,319,000,000","3,527,000,000","3,636,000,000","3,126,000,000","3,092,000,000","3,438,000,000","3,921,000,000","3,950,000,000","3,984,000,000","3,723,000,000","3,488,000,000","2,900,000,000","3,101,000,000","3,116,000,000","3,361,000,000","2,884,000,000","2,340,000,000","1,978,000,000","1,909,000,000","1,588,000,000","1,531,000,000",,,,,,,,,,,,,,,,,,,,,,,
				GrossAccountsReceivable,,,,,,,,,"6,755,000,000",,,,"5,632,000,000",,,,"4,727,000,000",,,,"4,827,000,000",,,,"4,465,000,000",,,,"3,620,000,000",,,,"3,871,000,000",,,,"3,686,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,,,,,,,,,"-33,000,000",,,,"-25,000,000",,,,"-37,000,000",,,,"-40,000,000",,,,"-38,000,000",,,,"-38,000,000",,,,"-38,000,000",,,,"-36,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			TaxesReceivable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"905,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		Inventory,"8,427,000,000","9,273,000,000","8,969,000,000","9,246,000,000","8,744,000,000","8,638,000,000","8,696,000,000","7,765,000,000","7,253,000,000","7,401,000,000","7,344,000,000","7,146,000,000","6,983,000,000","6,929,000,000","6,324,000,000","5,801,000,000","5,553,000,000","5,783,000,000","5,800,000,000","5,751,000,000","5,167,000,000","4,965,000,000","4,818,000,000","4,418,000,000","4,273,000,000","4,115,000,000","3,943,000,000","3,763,000,000","4,172,000,000","4,533,000,000","4,542,000,000","4,358,000,000","4,734,000,000","5,319,000,000","4,904,000,000","4,489,000,000","4,096,000,000","3,959,000,000","4,030,000,000","4,099,000,000","3,757,000,000","3,423,000,000","3,345,000,000","2,986,000,000","2,935,000,000","2,490,000,000","2,805,000,000","3,045,000,000","3,744,000,000","3,398,000,000","3,265,000,000","3,272,000,000","3,370,000,000","3,538,000,000","4,127,000,000","4,366,000,000","4,314,000,000","4,477,000,000","4,332,000,000","3,567,000,000","3,126,000,000","2,815,000,000","2,739,000,000","2,808,000,000","2,621,000,000","3,180,000,000","3,223,000,000","2,796,000,000","2,519,000,000","2,225,000,000","2,152,000,000","2,164,000,000","2,276,000,000","2,481,000,000","2,505,000,000","2,480,000,000","2,253,000,000","2,351,000,000","2,826,000,000","2,652,000,000","2,241,000,000","1,936,000,000","1,607,000,000","1,537,000,000","1,478,000,000","1,626,000,000","1,763,000,000","1,708,000,000","1,582,000,000","1,578,000,000","1,703,000,000","1,821,000,000","1,697,000,000","1,507,000,000","1,443,000,000","1,373,000,000","1,293,000,000","1,370,000,000","1,479,000,000","1,544,000,000","2,004,000,000","2,110,000,000","1,527,000,000","1,324,000,000","1,169,000,000","1,378,000,000","1,197,000,000","989,000,000","838,000,000","722,900,000","611,300,000","527,000,000","535,200,000","548,500,000","503,400,000","456,100,000","422,300,000","447,000,000","445,800,000","419,700,000","415,400,000","411,800,000","399,000,000","383,400,000","347,100,000","357,900,000","366,800,000","365,900,000","235,500,000","197,900,000","170,800,000"
			RawMaterials,"908,000,000","975,000,000","903,000,000","877,000,000","840,000,000","803,000,000","808,000,000","789,000,000","813,000,000","932,000,000","1,236,000,000","1,242,000,000","1,098,000,000","1,115,000,000","1,014,000,000","786,000,000","695,000,000","688,000,000","651,000,000","628,000,000","532,000,000","557,000,000","490,000,000","528,000,000","462,000,000","496,000,000","503,000,000","463,000,000","458,000,000","505,000,000","487,000,000","451,000,000","478,000,000","614,000,000","655,000,000","646,000,000","644,000,000","614,000,000","546,000,000","585,000,000","471,000,000","380,000,000","407,000,000","464,000,000","437,000,000","398,000,000","385,000,000","380,000,000","608,000,000","583,000,000","580,000,000","545,000,000","507,000,000","538,000,000","583,000,000","670,000,000","608,000,000","535,000,000","496,000,000","416,000,000","409,000,000","381,000,000","384,000,000","392,000,000","388,000,000","434,000,000","395,000,000","355,000,000","333,000,000","273,000,000","245,000,000","248,000,000","223,000,000","286,000,000","242,000,000","265,000,000","237,000,000","297,000,000","379,000,000","406,000,000","384,000,000","334,000,000","232,000,000","224,000,000","183,000,000","204,000,000","222,000,000","232,000,000","206,000,000","258,000,000","250,000,000","254,000,000","255,000,000","257,000,000","260,000,000","290,000,000","280,000,000","320,000,000","382,000,000","435,000,000","674,000,000","808,000,000","556,000,000","420,000,000","345,000,000","347,000,000","309,000,000","287,000,000",,,,,,,,,,,,,,,,,,,,,,,
			WorkInProcess,"6,007,000,000","6,313,000,000","6,093,000,000","6,654,000,000","6,225,000,000","5,945,000,000","5,612,000,000","4,758,000,000","4,511,000,000","4,507,000,000","4,081,000,000","3,750,000,000","3,893,000,000","3,965,000,000","3,775,000,000","3,412,000,000","3,190,000,000","3,443,000,000","3,218,000,000","2,980,000,000","2,893,000,000","2,690,000,000","2,668,000,000","2,190,000,000","2,375,000,000","2,292,000,000","2,071,000,000","1,803,000,000","1,998,000,000","2,259,000,000","2,220,000,000","2,129,000,000","2,219,000,000","2,363,000,000","2,068,000,000","2,048,000,000","1,680,000,000","1,494,000,000","1,450,000,000","1,783,000,000","1,887,000,000","1,634,000,000","1,637,000,000","1,473,000,000","1,469,000,000","1,072,000,000","1,209,000,000","1,448,000,000","1,577,000,000","1,427,000,000","1,355,000,000","1,361,000,000","1,460,000,000","1,647,000,000","2,063,000,000","2,187,000,000","2,044,000,000","2,265,000,000","2,331,000,000","1,944,000,000","1,662,000,000","1,434,000,000","1,506,000,000","1,517,000,000","1,418,000,000","1,750,000,000","1,912,000,000","1,682,000,000","1,490,000,000","1,247,000,000","1,315,000,000","1,355,000,000","1,365,000,000","1,520,000,000","1,393,000,000","1,301,000,000","1,316,000,000","1,308,000,000","1,431,000,000","1,367,000,000","1,057,000,000","926,000,000","863,000,000","796,000,000","755,000,000","840,000,000","947,000,000","797,000,000","795,000,000","879,000,000","988,000,000","1,035,000,000","928,000,000","849,000,000","703,000,000","708,000,000","672,000,000","712,000,000","693,000,000","655,000,000","707,000,000","653,000,000","619,000,000","637,000,000","528,000,000","668,000,000","531,000,000","402,000,000",,,,,,,,,,,,,,,,,,,,,,,
			FinishedGoods,"1,512,000,000","1,985,000,000","1,973,000,000","1,715,000,000","1,679,000,000","1,890,000,000","2,276,000,000","2,218,000,000","1,929,000,000","1,962,000,000","2,027,000,000","2,154,000,000","1,992,000,000","1,849,000,000","1,535,000,000","1,603,000,000","1,668,000,000","1,652,000,000","1,931,000,000","2,143,000,000","1,742,000,000","1,718,000,000","1,660,000,000","1,700,000,000","1,436,000,000","1,327,000,000","1,369,000,000","1,497,000,000","1,716,000,000","1,769,000,000","1,835,000,000","1,778,000,000","2,037,000,000","2,342,000,000","2,181,000,000","1,795,000,000","1,772,000,000","1,851,000,000","2,034,000,000","1,731,000,000","1,399,000,000","1,409,000,000","1,301,000,000","1,049,000,000","1,029,000,000","1,020,000,000","1,211,000,000","1,217,000,000","1,559,000,000","1,388,000,000","1,330,000,000","1,366,000,000","1,403,000,000","1,353,000,000","1,481,000,000","1,509,000,000","1,662,000,000","1,677,000,000","1,505,000,000","1,207,000,000","1,055,000,000","1,000,000,000","849,000,000","899,000,000","815,000,000","996,000,000","916,000,000","759,000,000","696,000,000","705,000,000","592,000,000","561,000,000","688,000,000","675,000,000","870,000,000","914,000,000","700,000,000","746,000,000","1,016,000,000","879,000,000","800,000,000","676,000,000","512,000,000","517,000,000","540,000,000","582,000,000","594,000,000","679,000,000","581,000,000","441,000,000","465,000,000","532,000,000","514,000,000","401,000,000","480,000,000","375,000,000","341,000,000","338,000,000","404,000,000","454,000,000","623,000,000","649,000,000","352,000,000","267,000,000","296,000,000","363,000,000","357,000,000","300,000,000",,,,,,,,,,,,,,,,,,,,,,,
